,rate
0,0.0026041666666666665
1,0.0026041666666666665
2,0.0026041666666666665
3,0.0026041666666666665
4,0.005208333333333333
5,0.005208333333333333
6,0.005208333333333333
7,0.005208333333333333
8,0.0026041666666666665
9,0.0026041666666666665
10,0.0026041666666666665
11,0.0026041666666666665
12,0.005208333333333333
13,0.005208333333333333
14,0.4453125
15,0.0026041666666666665
16,0.0026041666666666665
17,0.0026041666666666665
18,0.0026041666666666665
19,0.005208333333333333
20,0.005208333333333333
21,0.005208333333333333
22,0.005208333333333333
23,0.8214285714285714
24,0.16015625000000003
25,0.4453125
26,0.005208333333333333
27,0.005208333333333333
28,0.015625
29,0.015625
30,0.25
31,0.25
32,0.125
33,0.125
34,0.013888888888888888
35,0.013888888888888888
36,0.015625
37,0.7936862244897959
38,0.25
39,1.0
40,0.580357142857143
41,0.013888888888888888
42,0.23965419501133786
43,0.015625
44,0.015625
45,0.05555555555555555
46,0.05555555555555555
47,0.0625
48,0.0625
49,0.0625
50,0.0625
51,0.015625
52,0.015625
53,0.05555555555555555
54,1.0
55,0.0625
56,0.4209183673469388
57,0.0625
58,1.0
